feature,anova_f,anova_pvalue,mutual_information,random_forest_importance,anova_f_norm,mutual_information_norm,random_forest_importance_norm,composite_score,selected
prop_grav_taqui,160.6417499982436,9.133243835816052e-37,0.0008067230263291147,5.263719621722666e-06,0.0007378795968510046,0.0011598947461605139,2.4186881743896754e-05,0.0006406537415851384,False
prop_grav_mioc,12.352969051773702,0.00044060992865330444,0.00125553423689162,0.0,5.674118853869169e-05,0.001805189039442548,0.0,0.0006206434093270799,False
prop_plaq_menor,0.8144024157047266,0.3668254903544633,0.0012900617843496498,2.483245462799625e-07,3.7408141170104178e-06,0.0018548322497976696,1.1410555399253224e-06,0.0006199047064848684,False
prop_dengue_grave,41.42940042431927,1.2312424445633696e-10,0.0010739019789580695,1.1161356665533119e-05,0.00019029865700049818,0.0015440407954547177,5.128662489100315e-05,0.0005952086924487397,False
prop_grav_hipot,107.67335606301283,3.328973329349324e-25,0.0008783020843508016,1.3364278878107413e-06,0.0004945786046543893,0.0012628100846655563,6.140909015808366e-06,0.0005878431994452513,False
week_of_year_sin,57.58863201725329,3.277358513530066e-14,0.0,0.00032595205926622643,0.00026452324241086966,0.0,0.0014977552905965218,0.0005874261776691304,False
prop_grav_ench,75.14513767369823,4.4803378184880175e-18,0.0009811707247888712,3.8283988304064446e-07,0.00034516596023504434,0.0014107131340327314,1.7591558144050415e-06,0.0005858794166940603,False
prop_criterio_clinico,102.40344554628187,4.735181450515707e-24,0.0006129310908833396,3.6592971409813175e-05,0.00047037219848931194,0.0008812634930095341,0.00016814532987174724,0.0005065936737901977,False
prop_evidencia,193.19287624373695,7.473277696086061e-44,0.0,8.460858837107682e-05,0.0008873974644746665,0.0,0.00038877791153692546,0.000425391792003864,False
prop_grav_metro,19.629677747290977,9.416386568701028e-06,0.0007576750497366724,0.0,9.016546883138765e-05,0.0010893742719672206,0.0,0.0003931799135995361,False
qt_obitos_outras_causas,2.344483455180554,0.12573250266534514,0.0006908707454811314,1.3326881890921095e-05,1.0768971993590657e-05,0.000993324005645333,6.123725036195913e-05,0.0003551100760002942,False
prop_raca_amarela,0.7710713406565106,0.37988934439829936,0.0005752820023461336,5.010278526903718e-05,3.5417804524241703e-06,0.0008271321758575406,0.00023022315575871367,0.0003536323706895595,False
prop_grav_consc,150.86149283858617,1.2368510739011542e-34,0.0,8.444265149355933e-06,0.000692955707450235,0.0,3.880154287449272e-05,0.0002439190834415759,False
prop_grav_pulso,94.10544131448245,3.1062998929332104e-22,0.0,2.112196323972376e-06,0.00043225677695477916,0.0,9.705578256292806e-06,0.00014732078507035732,False
qt_obitos_agravo,43.165998687759405,5.0696784595007586e-11,0.0,7.27794344364203e-06,0.00019827541538699095,0.0,3.3442274676577215e-05,7.723923002118939e-05,False
prop_grav_conv,49.468585324599324,2.0372159277263345e-12,0.0,1.2016770167559768e-07,0.0002272252375021062,0.0,5.521726457216459e-07,7.592580338260929e-05,False
prop_obito_outras_causas,2.3642234262805983,0.12415095127389429,0.0,1.6099887382539506e-05,1.0859644075520233e-05,0.0,7.397925805252084e-05,2.827963404268036e-05,False
prop_metro,5.426806483172709,0.01983321054325098,0.0,1.2124561470890372e-05,2.492708016462519e-05,0.0,5.571256745568416e-05,2.6879882540103116e-05,False
